,price,rent_price,area_m2,room_number,year,floor_number,features
0,950000.0,400.0,64.0,2.0,2013.0,floor_2,"['meble', 'balkon', 'garaż/miejsce parkingowe', 'winda', 'pom. użytkowe']"
1,439000.0,400.0,37.0,2.0,2022.0,floor_1,"['telewizja kablowa', 'internet', 'telefon', 'domofon / wideofon', 'zmywarka', 'meble', 'piekarnik', 'kuchenka', 'balkon', 'garaż/miejsce parkingowe']"
2,464500.0,,50.0,2.0,2023.0,floor_2,"['monitoring / ochrona', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'winda', 'balkon']"
3,391900.0,,46.5,3.0,2023.0,floor_3,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'monitoring / ochrona', 'balkon', 'garaż/miejsce parkingowe', 'pom. użytkowe']"
4,650000.0,,54.0,3.0,2021.0,floor_4,"['monitoring / ochrona', 'meble', 'garaż/miejsce parkingowe', 'winda']"
5,548000.0,700.0,548000.0,2.0,1980.0,floor_3,"['zmywarka', 'lodówka', 'meble', 'kuchenka', 'balkon', 'piwnica']"
6,469000.0,,53.5,3.0,2022.0,ground_floor,"['internet', 'ogródek']"
7,753567.0,,71.77,4.0,2024.0,ground_floor,"['garaż/miejsce parkingowe', 'taras', 'ogródek', 'winda']"
8,626438.0,,56.95,3.0,2024.0,ground_floor,"['garaż/miejsce parkingowe', 'taras', 'ogródek', 'winda']"
9,595433.0,,48.41,3.0,2023.0,floor_1,"['teren zamknięty', 'dwupoziomowe', 'balkon']"
10,455738.0,,39.63,2.0,2024.0,floor_2,"['garaż/miejsce parkingowe', 'balkon', 'winda']"
11,614905.0,,75.08,4.0,2023.0,floor_2,"['garaż/miejsce parkingowe', 'balkon', 'winda']"
12,699000.0,,79.92,4.0,2023.0,floor_1,"['garaż/miejsce parkingowe', 'balkon', 'winda']"
13,428250.0,,34.26,2.0,2023.0,ground_floor,"['teren zamknięty', 'taras', 'ogródek']"
14,523800.0,,58.85,3.0,2023.0,ground_floor,"['garaż/miejsce parkingowe', 'ogródek', 'winda']"
15,548484.0,,66.97,3.0,2023.0,ground_floor,"['garaż/miejsce parkingowe', 'balkon', 'winda']"
16,458000.0,,46.49,2.0,2023.0,floor_4,"['garaż/miejsce parkingowe', 'balkon', 'winda']"
17,420585.0,,47.31,2.0,2023.0,floor_1,"['garaż/miejsce parkingowe', 'balkon', 'winda']"
18,491500.0,,57.82,3.0,2023.0,floor_3,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'monitoring / ochrona', 'balkon', 'garaż/miejsce parkingowe', 'winda', 'pom. użytkowe']"
19,955000.0,600.0,47.0,2.0,2016.0,floor_2,"['zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'pralka', 'balkon', 'garaż/miejsce parkingowe', 'pom. użytkowe']"
20,471276.0,,62.01,3.0,2022.0,ground_floor,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'ogródek']"
21,495000.0,500.0,36.7,2.0,1980.0,floor_5,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'pralka', 'balkon', 'piwnica', 'winda']"
22,2300000.0,1500.0,131.0,3.0,2020.0,floor_5,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'monitoring / ochrona', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'pralka', 'balkon', 'garaż/miejsce parkingowe', 'winda', 'dwupoziomowe', 'pom. użytkowe']"
23,879000.0,475.0,68.0,3.0,1901.0,floor_2,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'meble', 'balkon', 'piwnica', 'ogródek']"
24,349000.0,400.0,33.41,1.0,2013.0,floor_2,"['telewizja kablowa', 'internet', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'balkon', 'piwnica', 'garaż/miejsce parkingowe']"
25,419000.0,400.0,28.0,2.0,1980.0,floor_4,"['drzwi / okna antywłamaniowe', 'domofon / wideofon', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'pralka', 'piwnica']"
26,869000.0,,66.94,3.0,2009.0,ground_floor,"['telewizja kablowa', 'internet', 'telefon', 'system alarmowy', 'drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'monitoring / ochrona', 'zmywarka', 'meble', 'piekarnik', 'kuchenka', 'garaż/miejsce parkingowe', 'ogródek', 'taras']"
